PLAYER,PLAYER.1,AGE,POS,TEAM,DATE,TYPE,EXTENSION,STRUCTURE,LENGTH,VALUE,CAP HIT
Mark Pysyk,Mark Pysyk,31,RD,CGY,"Dec. 2, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Samuel Montembeault,Samuel Montembeault,27,G,MTL,"Dec. 1, 2023",Stnd (UFA),✔,1-way,3,"$9,450,000","$3,150,000"
Jordan Gustafson,Jordan Gustafson,19,C,VGK,"Nov. 29, 2023",ELC,,2-way,3,"$2,572,500","$857,500"
Patrick Kane,Patrick Kane,34,RW,DET,"Nov. 28, 2023",Stnd (UFA),,1-way,1,"$2,750,000","$2,750,000"
Justin Bailey,Justin Bailey,27,RW,SJS,"Nov. 27, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Ben Hemmerling,Ben Hemmerling,19,RW,VGK,"Nov. 26, 2023",ELC,,2-way,3,"$2,532,500","$844,167"
Samuel Laberge,Samuel Laberge,26,C,NJD,"Nov. 25, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Nils Åman,Nils Åman,24,C,VAN,"Nov. 24, 2023",Stnd (RFA),,1-way,2,"$1,650,000","$825,000"
Dmitri Samorukov,Dmitri Samorukov,24,LD,PIT,"Nov. 21, 2023",Stnd (UFA),✔,2-way,1,"$775,000","$775,000"
Koehn Ziemmer,Koehn Ziemmer,18,RW,LAK,"Nov. 17, 2023",ELC,,2-way,3,"$2,625,000","$875,000"
Joel Kiviranta,Joel Kiviranta,27,"RW, LW",COL,"Nov. 12, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Sam Gagner,Sam Gagner,33,"RW, C",EDM,"Oct. 31, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Danton Heinen,Danton Heinen,27,"LW, RW",BOS,"Oct. 30, 2023",Stnd (UFA),,1-way,1,"$775,000","$775,000"
Jackson Edward,Jackson Edward,19,LD,BOS,"Oct. 25, 2023",ELC,,2-way,3,"$2,580,000","$860,000"
Jonah Gadjovich,Jonah Gadjovich,24,"LW, RW",FLA,"Oct. 16, 2023",Stnd (UFA),,1-way,1,"$810,000","$810,000"
Adam Erne,Adam Erne,28,"LW, RW",EDM,"Oct. 13, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Devon Toews,Devon Toews,30,LD,COL,"Oct. 13, 2023",Stnd (UFA),✔,1-way,7,"$50,750,000","$7,250,000"
Justin Danforth,Justin Danforth,31,"RW, C",CBJ,"Oct. 11, 2023",Stnd (UFA),✔,1-way,1,"$1,100,000","$1,100,000"
Owen Power,Owen Power,21,LD/RD,BUF,"Oct. 11, 2023",Stnd (RFA),✔,1-way,7,"$58,450,000","$8,350,000"
Noah Gregor,Noah Gregor,24,"LW, RW",TOR,"Oct. 10, 2023",Stnd (UFA),,1-way,1,"$775,000","$775,000"
Beau Akey,Beau Akey,18,RD,EDM,"Oct. 10, 2023",ELC,,2-way,3,"$2,850,000","$895,000"
Mark Scheifele,Mark Scheifele,31,C,WPG,"Oct. 9, 2023",Stnd (UFA),✔,1-way,7,"$59,500,000","$8,500,000"
Austin Watson,Austin Watson,31,"RW, LW",TBL,"Oct. 9, 2023",Stnd (UFA),,1-way,1,"$776,665","$776,665"
Connor Hellebuyck,Connor Hellebuyck,31,G,WPG,"Oct. 9, 2023",Stnd (UFA),✔,1-way,7,"$59,500,000","$8,500,000"
Rasmus Dahlin,Rasmus Dahlin,24,LD/RD,BUF,"Oct. 9, 2023",Stnd (RFA),✔,1-way,8,"$88,000,000","$11,000,000"
Jakub Demek,Jakub Demek,20,"RW, C",VGK,"Oct. 8, 2023",ELC,,2-way,3,"$2,555,049","$851,683"
Zach Aston-Reese,Zach Aston-Reese,28,"LW, RW",DET,"Oct. 8, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Colin White,Colin White,26,"RW, C",PIT,"Oct. 7, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Max Willman,Max Willman,28,LW,NJD,"Oct. 7, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Ryan Hartman,Ryan Hartman,29,"C, RW",MIN,"Oct. 7, 2023",Stnd (UFA),✔,1-way,3,"$12,000,000","$4,000,000"
Saige Weinstein,Saige Weinstein,18,LD,COL,"Oct. 6, 2023",ELC,,2-way,3,"$2,400,000","$800,000"
Jake Furlong,Jake Furlong,19,LD,SJS,"Oct. 5, 2023",ELC,,2-way,3,"$2,637,500","$870,833"
Brady Stonehouse,Brady Stonehouse,18,RW,EDM,"Oct. 5, 2023",ELC,,2-way,3,"$2,535,000","$845,000"
Jamie Drysdale,Jamie Drysdale,21,RD,ANA,"Oct. 5, 2023",Stnd (RFA),,1-way,3,"$6,900,000","$2,300,000"
Quentin Musty,Quentin Musty,17,LW,SJS,"Oct. 4, 2023",ELC,,2-way,3,"$3,100,000","$950,000"
Frédéric Brunet,Frédéric Brunet,19,LD,BOS,"Oct. 4, 2023",ELC,,2-way,3,"$2,580,000","$860,000"
Trevor Zegras,Trevor Zegras,22,"C, LW",ANA,"Oct. 2, 2023",Stnd (RFA),,1-way,3,"$17,250,000","$5,750,000"
Marcus Foligno,Marcus Foligno,32,"RW, LW",MIN,"Sep. 29, 2023",Stnd (UFA),✔,1-way,4,"$16,000,000","$4,000,000"
Mats Zuccarello,Mats Zuccarello,36,"RW, LW",MIN,"Sep. 29, 2023",35+ (UFA),✔,1-way,2,"$8,250,000","$4,125,000"
Mikael Backlund,Mikael Backlund,35,C,CGY,"Sep. 27, 2023",35+ (UFA),✔,1-way,2,"$9,000,000","$4,500,000"
Carson Bjarnason,Carson Bjarnason,18,G,PHI,"Sep. 26, 2023",ELC,,2-way,3,"$2,850,000","$913,333"
Ty Young,Ty Young,18,G,VAN,"Sep. 25, 2023",ELC,,2-way,3,"$2,550,000","$850,000"
Sawyer Mynio,Sawyer Mynio,18,LD,VAN,"Sep. 24, 2023",ELC,,2-way,3,"$2,850,000","$870,000"
Djibril Touré,Djibril Touré,20,RD,OTT,"Sep. 21, 2023",ELC,,2-way,3,"$2,415,000","$805,000"
Parker Bell,Parker Bell,19,LW,CGY,"Sep. 21, 2023",ELC,,2-way,3,"$2,572,500","$857,500"
Colby Barlow,Colby Barlow,18,LW,WPG,"Sep. 21, 2023",ELC,,2-way,3,"$3,600,000","$950,000"
Jan Jeník,Jan Jeník,22,C,ARI,"Sep. 20, 2023",Stnd (RFA),,2-way,1,"$775,000","$775,000"
Calen Addison,Calen Addison,23,RD,MIN,"Sep. 19, 2023",Stnd (RFA),,1-way,1,"$825,000","$825,000"
Egor Sokolov,Egor Sokolov,23,LW,OTT,"Sep. 19, 2023",Stnd (RFA),,2-way,1,"$775,000","$775,000"
Jujhar Khaira,Jujhar Khaira,28,"LW, C",MIN,"Sep. 17, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Mark Pysyk,Mark Pysyk,31,RD,CGY,"Dec. 2, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Samuel Montembeault,Samuel Montembeault,27,G,MTL,"Dec. 1, 2023",Stnd (UFA),✔,1-way,3,"$9,450,000","$3,150,000"
Jordan Gustafson,Jordan Gustafson,19,C,VGK,"Nov. 29, 2023",ELC,,2-way,3,"$2,572,500","$857,500"
Patrick Kane,Patrick Kane,34,RW,DET,"Nov. 28, 2023",Stnd (UFA),,1-way,1,"$2,750,000","$2,750,000"
Justin Bailey,Justin Bailey,27,RW,SJS,"Nov. 27, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Ben Hemmerling,Ben Hemmerling,19,RW,VGK,"Nov. 26, 2023",ELC,,2-way,3,"$2,532,500","$844,167"
Samuel Laberge,Samuel Laberge,26,C,NJD,"Nov. 25, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Nils Åman,Nils Åman,24,C,VAN,"Nov. 24, 2023",Stnd (RFA),,1-way,2,"$1,650,000","$825,000"
Dmitri Samorukov,Dmitri Samorukov,24,LD,PIT,"Nov. 21, 2023",Stnd (UFA),✔,2-way,1,"$775,000","$775,000"
Koehn Ziemmer,Koehn Ziemmer,18,RW,LAK,"Nov. 17, 2023",ELC,,2-way,3,"$2,625,000","$875,000"
Joel Kiviranta,Joel Kiviranta,27,"RW, LW",COL,"Nov. 12, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Sam Gagner,Sam Gagner,33,"RW, C",EDM,"Oct. 31, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Danton Heinen,Danton Heinen,27,"LW, RW",BOS,"Oct. 30, 2023",Stnd (UFA),,1-way,1,"$775,000","$775,000"
Jackson Edward,Jackson Edward,19,LD,BOS,"Oct. 25, 2023",ELC,,2-way,3,"$2,580,000","$860,000"
Jonah Gadjovich,Jonah Gadjovich,24,"LW, RW",FLA,"Oct. 16, 2023",Stnd (UFA),,1-way,1,"$810,000","$810,000"
Adam Erne,Adam Erne,28,"LW, RW",EDM,"Oct. 13, 2023",Stnd (UFA),,2-way,1,"$775,000","$775,000"
Devon Toews,Devon Toews,30,LD,COL,"Oct. 13, 2023",Stnd (UFA),✔,1-way,7,"$50,750,000","$7,250,000"
Justin Danforth,Justin Danforth,31,"RW, C",CBJ,"Oct. 11, 2023",Stnd (UFA),✔,1-way,1,"$1,100,000","$1,100,000"
Owen Power,Owen Power,21,LD/RD,BUF,"Oct. 11, 2023",Stnd (RFA),✔,1-way,7,"$58,450,000","$8,350,000"
Noah Gregor,Noah Gregor,24,"LW, RW",TOR,"Oct. 10, 2023",Stnd (UFA),,1-way,1,"$775,000","$775,000"
Beau Akey,Beau Akey,18,RD,EDM,"Oct. 10, 2023",ELC,,2-way,3,"$2,850,000","$895,000"
Mark Scheifele,Mark Scheifele,31,C,WPG,"Oct. 9, 2023",Stnd (UFA),✔,1-way,7,"$59,500,000","$8,500,000"
