PLAYER,PLAYER.1,AGE,POS,TEAM,DATE,TYPE,EXTENSION,STRUCTURE,LENGTH,VALUE,CAP HIT
Jonas Hiller,Jonas Hiller,27,G,ANA,"Jan. 30, 2010",Stnd (UFA),✔,1-way,4,"$18,000,000","$4,500,000"
Joe Vitale,Joe Vitale,24,"C, RW",PIT,"Jan. 28, 2010",Stnd (RFA),✔,2-way,2,"$1,025,000","$512,500"
Marcel Goc,Marcel Goc,26,C,NSH,"Jan. 27, 2010",Stnd (RFA),✔,1-way,1,"$775,000","$775,000"
Kevin Klein,Kevin Klein,25,RD,NSH,"Jan. 19, 2010",Stnd (RFA),✔,1-way,3,"$4,050,000","$1,350,000"
Jack Johnson,Jack Johnson,22,LD,LAK,"Jan. 9, 2010",Stnd (RFA),✔,1-way,7,"$30,500,000","$4,357,143"
Tyler Sloan,Tyler Sloan,29,LD,WSH,"Jan. 6, 2010",Stnd (UFA),✔,1-way,2,"$1,400,000","$700,000"
David Steckel,David Steckel,27,C,WSH,"Jan. 6, 2010",Stnd (UFA),✔,1-way,3,"$3,300,000","$1,100,000"
Jake Muzzin,Jake Muzzin,21,LD,LAK,"Jan. 4, 2010",ELC,,2-way,3,"$2,700,000","$606,667"
Jaroslav Janus,Jaroslav Janus,20,G,TBL,"Jan. 1, 2010",ELC,,2-way,3,"$1,825,000","$658,333"
Rene Bourque,Rene Bourque,28,LW,CGY,"Feb. 25, 2010",Stnd (UFA),✔,1-way,6,"$20,000,000","$3,333,333"
Cal Clutterbuck,Cal Clutterbuck,22,RW,MIN,"Feb. 25, 2010",Stnd (RFA),✔,1-way,3,"$4,200,000","$1,400,000"
Andrew MacDonald,Andrew MacDonald,23,RD,NYI,"Feb. 25, 2010",Stnd (RFA),✔,1-way,4,"$2,200,000","$550,000"
Pekka Rinne,Pekka Rinne,27,G,NSH,"Feb. 24, 2010",Stnd (UFA),✔,1-way,2,"$6,800,000","$3,400,000"
Jassen Cullimore,Jassen Cullimore,36,LD,CHI,"Feb. 17, 2010",35+ (UFA),,2-way,1,"$500,000","$500,000"
Mark Parrish,Mark Parrish,32,RW,TBL,"Feb. 9, 2010",Stnd (UFA),,2-way,1,"$500,000","$500,000"
Jordin Tootoo,Jordin Tootoo,27,RW,NSH,"Feb. 5, 2010",Stnd (UFA),✔,1-way,2,"$2,500,000","$1,250,000"
